file_name,ents_stanza,ents_spacy
Biographies_Sculptors\AdebisiAkanji_Sculptors.txt,"[('Adebisi Akanji', 'PERSON'), ('1930s', 'DATE'), ('Nigerian', 'NORP'), ('Olúwo', 'PERSON'), ('Ilédì Lárọ̀ Ohùntótó', 'PERSON'), ('Ọ̀ṣun State', 'GPE'), ('Nigeria', 'GPE'), ('first', 'ORDINAL'), ('Yoruba', 'NORP'), ('Career\nAkanji', 'PERSON'), ('Yoruba', 'NORP'), ('Susanne Wenger', 'PERSON'), ('a decade', 'DATE'), ('Osun', 'GPE'), ('Osogbo, Nigeria', 'GPE')]","[('Adebisi Akanji', 'PERSON'), ('1930s', 'DATE'), ('Nigerian', 'NORP'), ('Olúwo', 'PERSON'), ('Ògbóni', 'GPE'), ('Ilédì Lárọ̀', 'ORG'), ('Ògbóni', 'GPE'), ('Òṣogbo', 'PERSON'), ('State', 'GPE'), ('Nigeria', 'GPE'), ('first', 'ORDINAL'), ('Yoruba', 'GPE'), ('Career', 'FAC'), ('Akanji', 'ORG'), ('Yoruba', 'GPE'), ('Susanne Wenger', 'PERSON'), ('a decade', 'DATE'), ('Osogbo', 'GPE'), ('Nigeria', 'GPE')]"
Biographies_Sculptors\AgimRada_Sculptors.txt,"[('Agim Rada', 'PERSON'), ('24 May 1953', 'DATE'), ('11 July 2023', 'DATE'), ('Albanian', 'NORP'), ('Biography\nRada', 'PERSON'), ('Tirana', 'GPE'), ('24 May 1953', 'DATE'), ('Marin Barleti', 'PERSON'), ('Gjergj Elez Alia', 'PERSON'), ('Onufri', 'PERSON'), ('Petro Marko', 'PERSON'), ('One', 'CARDINAL'), ('the ""Chained Cleric""', 'WORK_OF_ART'), ('Shkodër', 'GPE'), (""Francis'"", 'PERSON'), ('Albania', 'GPE'), ('Rada', 'PERSON'), ('11 July 2023', 'DATE'), ('the age of 70', 'DATE')]","[('Rada', 'PERSON'), ('24 May 1953', 'DATE'), ('11 July 2023', 'DATE'), ('Albanian', 'NORP'), ('Rada', 'PERSON'), ('Tirana', 'GPE'), ('24 May 1953', 'DATE'), ('Marin Barleti', 'PERSON'), ('Gjergj Elez Alia', 'PERSON'), ('Onufri', 'ORG'), ('Petro Marko', 'ORG'), ('One', 'CARDINAL'), ('days', 'DATE'), ('Francis', 'PERSON'), ('Albania', 'GPE'), ('Rada', 'GPE'), ('11 July 2023', 'DATE'), ('the age of 70', 'DATE')]"
Biographies_Sculptors\AgustínCárdenas_Sculptors.txt,"[('Agustín Cárdenas Alfonso', 'PERSON'), ('April 10, 1927', 'DATE'), ('Matanzas', 'GPE'), ('Cuba', 'GPE'), ('February 9, 2001', 'DATE'), ('Havana', 'GPE'), ('Cuba', 'GPE'), ('Cuban', 'NORP'), ('Surrealist', 'NORP'), ('Paris', 'GPE'), ('Brâncuși', 'PERSON'), ('Henry Moore', 'PERSON'), ('Jean Arp.', 'PERSON'), ('André Breton', 'PERSON'), ('Biography\nCárdenas', 'PERSON'), ('Senegal', 'GPE'), ('Congo', 'GPE'), ('Matanzas', 'GPE'), ('Cuba', 'GPE'), ('Cárdenas', 'PERSON'), ('Juan José Sicre', 'PERSON'), ('1943 to 1949', 'DATE'), ('Escuela Nacional de Bellas Artes', 'ORG'), ('San Alejandro', 'GPE'), ('Havana', 'GPE'), ('Asociación de Grabadores de Cuba', 'ORG'), ('AGC', 'ORG'), ('1951 to 1955', 'DATE'), ('Los Once', 'ORG'), ('1953 to 1955', 'DATE'), (""Cárdenas'"", 'PERSON'), ('1952', 'DATE'), ('Pintura Ávila Escultura Cárdenas', 'WORK_OF_ART'), ('Palacio de los Trabajadores', 'ORG'), ('Havana', 'GPE'), ('1955', 'DATE'), ('Agustín Cárdenas: 20 esculturas""', 'WORK_OF_ART'), ('Museo Nacional de Bellas Artes de La Habana', 'WORK_OF_ART'), ('Paris', 'GPE'), ('1955', 'DATE'), ('1957', 'DATE'), ('Surrealist', 'NORP'), ('African', 'NORP'), ('Dogon', 'NORP'), ('1987', 'DATE'), ('the Corea Gallery', 'FAC'), ('Seoul', 'GPE'), ('South Korea', 'GPE'), ('1993', 'DATE'), ('Agustín Cárdenas', 'PERSON'), ('Museo Nacional de Bellas Artes de La Habana', 'WORK_OF_ART'), ('2002', 'DATE'), (""Cárdenas's"", 'PERSON'), ('Desires and Grace""', 'WORK_OF_ART'), ('the Haim Chanin Fine Arts Gallery', 'ORG'), ('New York City', 'GPE'), ('Cárdenas', 'PERSON'), ('the IV Exposición Nacional de Pintura, Escultura y Grabado', 'ORG'), ('the Centro Asturiano', 'FAC'), ('Havana', 'GPE'), ('1950', 'DATE'), ('the ""Exposition Internationale du Surréalisme Eros', 'WORK_OF_ART'), ('the Galerie Daniel Cordier', 'FAC'), ('Paris', 'GPE'), ('1960', 'DATE'), ('the II Bienal Internacional de la Pequeña Escultura', 'EVENT'), ('1973', 'DATE'), ('Budapest', 'GPE'), ('Hungary', 'GPE'), ('Abstract Art ""Tono a Tono"" in the Salón de la Solidaridadin the Hotel Habana Libre', 'WORK_OF_ART'), ('Havana', 'GPE'), ('2000', 'DATE'), ('Cárdenas', 'PERSON'), ('Segundo Premio VI Salón Nacional de Pintura y Escultura', 'WORK_OF_ART'), ('Salones del Capitolio Nacional', 'GPE'), ('Havana', 'GPE'), ('Cuban', 'NORP'), ('1953', 'DATE'), ('the Silver Medal XXXVII, Salón de Bellas Artes', 'WORK_OF_ART'), ('Círculo de Bellas Artes', 'WORK_OF_ART'), ('Havana', 'GPE'), ('1955', 'DATE'), ('1976', 'DATE'), ('Ordre des Arts et des Lettres', 'WORK_OF_ART'), ('France', 'GPE'), ('the Fujisankey Biennal Prize', 'WORK_OF_ART'), ('the Hakone Open-Air Museum', 'FAC'), ('Fujisankey', 'GPE'), ('Japan', 'GPE'), ('1995', 'DATE'), ('Premio Nacional de Artes Plásticas', 'WORK_OF_ART'), ('the Cuban Ministry of Culture', 'ORG'), ('Centre National des Arts du Cirque', 'FAC'), ('Fonds National d’Art Contemporain', 'FAC'), ('Musée de la Sculpture en Plein Air', 'FAC'), ('Paris', 'GPE'), ('the Musée d’Art et d’Industrie', 'FAC'), ('Saint-Étienne', 'FAC'), ('France', 'GPE'), ('the Hakone Open-Air Museum', 'FAC'), ('Hakone', 'GPE'), ('Japan', 'GPE'), ('the Musée d’Art Contemporain', 'FAC'), ('Argel', 'GPE'), ('Algeria', 'GPE'), ('Museo de Bellas Artes', 'GPE'), ('Caracas', 'GPE'), ('Venezuela', 'GPE'), ('Kendall Art Center', 'GPE'), ('Miami', 'GPE'), ('Florida', 'GPE'), ('the Museo Nacional de Bellas Artes de', 'FAC'), ('La Habana', 'GPE'), ('Havana', 'GPE'), ('Cuba', 'GPE'), ('El Nuevo Herald', 'ORG'), ('TRES ARTISTAS', 'ORG'), ('TRES MEDIOS', 'ORG'), ('May 7, 2000', 'DATE'), ('Spanish', 'LANGUAGE'), ('El Nuevo Herald', 'WORK_OF_ART'), ('DECESO', 'ORG'), ('February 12, 2001', 'DATE'), ('Spanish', 'LANGUAGE'), ('El Nuevo Herald', 'ORG'), ('UN ARTE CUBANO DE FRANCIA', 'WORK_OF_ART'), ('February 27, 1985', 'DATE'), ('Spanish', 'LANGUAGE'), ('El Nuevo Herald', 'ORG'), ('VENTAS MILLONARIAS EN SUBASTA', 'ORG'), ('January 27, 2002', 'DATE'), ('Spanish', 'LANGUAGE'), ('Toni Piñera', 'PERSON'), ('2001-02-19', 'DATE'), ('Agustín Cárdenas', 'PERSON'), ('Spanish', 'LANGUAGE'), ('Granma', 'PERSON'), ('June 11, 2007', 'DATE'), ('2008-03-21', 'DATE'), ('Agustin Cardenas', 'PERSON'), ('2008-02-03', 'DATE'), ('Cernuda Arte""', 'WORK_OF_ART'), ('Spanish', 'LANGUAGE'), ('2008-02-03', 'DATE')]","[('Agustín Cárdenas Alfonso', 'PERSON'), ('April 10, 1927', 'DATE'), ('Matanzas', 'GPE'), ('Cuba', 'GPE'), ('February 9, 2001', 'DATE'), ('Havana', 'GPE'), ('Cuba', 'GPE'), ('Cuban', 'NORP'), ('Surrealist', 'NORP'), ('Paris', 'GPE'), ('Brâncuși', 'ORG'), ('Henry Moore', 'PERSON'), ('Jean Arp', 'PERSON'), ('André Breton', 'PERSON'), ('Cárdenas', 'GPE'), ('Senegal', 'GPE'), ('Congo', 'GPE'), ('Matanzas', 'GPE'), ('Cuba', 'GPE'), ('Cárdenas', 'GPE'), ('Juan José Sicre', 'PERSON'), ('1943 to 1949', 'DATE'), ('Escuela Nacional de Bellas Artes “San Alejandro”', 'FAC'), ('Havana', 'GPE'), ('Asociación de Grabadores de Cuba', 'PERSON'), ('1951 to 1955', 'DATE'), ('Los Once', 'ORG'), ('1953 to 1955', 'DATE'), ('Cárdenas', 'GPE'), ('1952', 'DATE'), ('Palacio', 'GPE'), ('Havana', 'GPE'), ('1955', 'DATE'), ('Agustín Cárdenas', 'PERSON'), ('20', 'CARDINAL'), ('the Museo Nacional de Bellas Artes de La Habana', 'FAC'), ('Paris', 'GPE'), ('1955', 'DATE'), ('1957', 'DATE'), ('Surrealist', 'NORP'), ('African', 'NORP'), ('Dogon', 'ORG'), ('1987', 'DATE'), ('the Corea Gallery', 'ORG'), ('Seoul', 'GPE'), ('South Korea', 'GPE'), ('1993', 'DATE'), ('Agustín Cárdenas', 'PERSON'), ('the Museo Nacional de Bellas Artes de La Habana', 'ORG'), ('2002', 'DATE'), ('Cárdenas', 'GPE'), ('Desires', 'WORK_OF_ART'), ('Grace', 'PERSON'), ('the Haim Chanin Fine Arts Gallery', 'FAC'), ('New York City', 'GPE'), ('Cárdenas', 'GPE'), ('the IV Exposición Nacional de Pintura', 'ORG'), ('Escultura', 'PERSON'), ('Grabado', 'PERSON'), ('the Centro Asturiano', 'FAC'), ('Havana', 'GPE'), ('1950', 'DATE'), ('the ""Exposition Internationale du Surréalisme Eros', 'ORG'), ('the Galerie Daniel Cordier', 'ORG'), ('Paris', 'GPE'), ('1960', 'DATE'), ('the II Bienal Internacional de la', 'ORG'), ('Pequeña Escultura', 'PERSON'), ('1973', 'DATE'), ('Budapest', 'GPE'), ('Hungary', 'GPE'), ('the Salón de la Solidaridadin', 'GPE'), ('the Hotel Habana Libre', 'ORG'), ('Havana', 'GPE'), ('2000', 'DATE'), ('Cárdenas', 'GPE'), ('Segundo Premio VI Salón Nacional de Pintura', 'PERSON'), ('Escultura', 'PERSON'), ('Salones del Capitolio Nacional', 'PERSON'), ('Havana', 'GPE'), ('Cuban', 'NORP'), ('1953', 'DATE'), ('the Silver Medal XXXVII', 'ORG'), ('Salón de Bellas Artes', 'PERSON'), ('Círculo de Bellas Artes', 'PERSON'), ('Havana', 'GPE'), ('1955', 'DATE'), ('1976', 'DATE'), ('the Ordre des Arts et des Lettres', 'ORG'), ('France', 'GPE'), ('the Fujisankey Biennal Prize', 'ORG'), ('the Hakone Open-Air Museum', 'FAC'), ('Fujisankey', 'GPE'), ('Japan', 'GPE'), ('1995', 'DATE'), ('Premio Nacional de Artes Plásticas', 'ORG'), ('the Cuban Ministry of Culture', 'ORG'), ('the Centre National des Arts du Cirque', 'ORG'), ('Fonds National', 'ORG'), ('Musée de la Sculpture', 'PERSON'), ('Paris', 'GPE'), ('Musée', 'PERSON'), ('Saint-Étienne', 'FAC'), ('France', 'GPE'), ('the Hakone Open-Air Museum', 'FAC'), ('Hakone', 'GPE'), ('Japan', 'GPE'), ('Musée', 'PERSON'), ('Contemporain', 'GPE'), ('Argel', 'GPE'), ('Algeria', 'GPE'), ('Museo de Bellas Artes', 'PERSON'), ('Caracas', 'GPE'), ('Venezuela', 'GPE'), ('Kendall Art Center', 'ORG'), ('Miami', 'GPE'), ('Florida', 'GPE'), ('the Museo Nacional de Bellas Artes de La Habana', 'ORG'), ('Havana', 'GPE'), ('Cuba', 'GPE'), ('El Nuevo Herald', 'ORG'), ('TRES', 'GPE'), ('TRES', 'GPE'), ('May 7, 2000', 'DATE'), ('Spanish', 'LANGUAGE'), ('El Nuevo Herald', 'ORG'), ('February 12, 2001', 'DATE'), ('Spanish', 'LANGUAGE'), ('El Nuevo Herald', 'ORG'), ('UN', 'ORG'), ('February 27, 1985', 'DATE'), ('Spanish', 'LANGUAGE'), ('El Nuevo Herald', 'ORG'), ('VENTAS', 'ORG'), ('SUBASTA', 'ORG'), ('January 27, 2002', 'DATE'), ('Spanish', 'NORP'), ('Toni Piñera', 'PERSON'), ('2001-02-19', 'DATE'), ('Agustín Cárdenas', 'PERSON'), ('Spanish', 'LANGUAGE'), ('Granma', 'ORG'), ('June 11, 2007', 'DATE'), ('2008-03-21', 'DATE'), ('Agustin Cardenas', 'PERSON'), ('2008-02-03', 'DATE'), ('Cernuda Arte', 'WORK_OF_ART'), ('Spanish', 'LANGUAGE'), ('2008-02-03', 'DATE')]"
